timestamp,x,y,z,w
1523148929557120,0.09375,0.294312,-0.739624,-0.597961
1523148929576669,0.0941162,0.293457,-0.740479,-0.597351
1523148929594720,0.0953369,0.293274,-0.740417,-0.59729
1523148929617280,0.0968018,0.291626,-0.740784,-0.597351
1523148929636832,0.0979004,0.290527,-0.74115,-0.59729
1523148929654877,0.0985718,0.290161,-0.741333,-0.597168
1523148929676936,0.0979004,0.289551,-0.741577,-0.597229
1523148929696991,0.0969849,0.289978,-0.741577,-0.597168
1523148929714540,0.09552,0.290833,-0.741333,-0.597351
1523148929737097,0.0935059,0.291748,-0.741028,-0.597534
1523148929758152,0.0918579,0.292542,-0.740784,-0.597656
1523148929774700,0.0910034,0.293335,-0.74054,-0.597778
1523148929797256,0.0913086,0.293701,-0.740234,-0.597961
1523148929816811,0.0922852,0.293274,-0.740112,-0.598145
1523148929834858,0.09375,0.292664,-0.740112,-0.598206
1523148929856917,0.0950317,0.291809,-0.740234,-0.598206
1523148929876470,0.0953369,0.291138,-0.74054,-0.598145
1523148929894516,0.0950928,0.290649,-0.740845,-0.598022
1523148929917075,0.0947266,0.290344,-0.74115,-0.5979
1523148929938131,0.0944214,0.290039,-0.741394,-0.597778
1523148929954675,0.0944214,0.289734,-0.741516,-0.597778
1523148929977235,0.0942383,0.289429,-0.741638,-0.597839
1523148929996787,0.0939331,0.289368,-0.741638,-0.5979
1523148930019362,0.093689,0.289429,-0.741577,-0.597961
1523148930037396,0.09375,0.28949,-0.741577,-0.597961
1523148930056948,0.0939331,0.28949,-0.741699,-0.597778
1523148930074997,0.0928345,0.289551,-0.741333,-0.598389
1523148930097054,0.0928955,0.289856,-0.741638,-0.597839
1523148930118109,0.093689,0.289246,-0.742004,-0.597534
1523148930139166,0.0942383,0.287415,-0.742676,-0.597473
1523148930157216,0.0953979,0.286865,-0.74292,-0.59729
1523148930178270,0.0959473,0.286316,-0.743042,-0.59729
1523148930199326,0.0959473,0.285583,-0.743103,-0.597534
1523148930217375,0.0955811,0.285767,-0.74292,-0.597778
1523148930238431,0.0946045,0.286621,-0.742554,-0.597961
1523148930259486,0.0932617,0.288269,-0.741943,-0.598145
1523148930277033,0.0917969,0.289673,-0.74115,-0.598633
1523148930298092,0.0919189,0.291077,-0.740356,-0.598938
1523148930319144,0.0926514,0.292114,-0.739807,-0.59906
1523148930337194,0.0934448,0.292664,-0.73938,-0.599121
1523148930358251,0.0941162,0.293152,-0.739258,-0.598938
1523148930379307,0.0939331,0.29364,-0.739258,-0.598755
1523148930397353,0.0932007,0.29425,-0.739258,-0.598572
1523148930419915,0.0925293,0.294678,-0.739319,-0.598389
1523148930439467,0.09198,0.295044,-0.73938,-0.598267
